S.No,Page ID,URL,Source file,Final filename,Alt text,Original width,Original height,Original format,Staging width,Staging height,Staging format,Visual QA,Issue / note,Width,Height,Asset path
11,CORE-011,/skink-care/supplies-checklist/,0011.jpeg,core-011-skink-supplies-hero.webp,"Essential skink enclosure, heating, lighting and feeding supplies",1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/core-011-skink-supplies-hero.webp
12,BT-001,/pet-skinks/blue-tongue-skink/,012.jpeg,bt-001-blue-tongue-skink-hero.webp,Northern blue-tongue skink in side profile with its blue tongue visible,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/bt-001-blue-tongue-skink-hero.webp
13,BT-002,/pet-skinks/blue-tongue-skink/care/,013.jpeg,bt-002-blue-tongue-care-hero.webp,"Blue-tongue skink in a spacious, properly furnished enclosure",1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/bt-002-blue-tongue-care-hero.webp
14,BT-003,/pet-skinks/blue-tongue-skink/enclosure/,014.png,bt-003-blue-tongue-enclosure-hero.webp,"Blue-tongue skink enclosure with heating, UVB, substrate, hides and water",1536,1024,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/bt-003-blue-tongue-enclosure-hero.webp
15,BT-004,/pet-skinks/blue-tongue-skink/diet/,015.png,bt-004-blue-tongue-diet-hero.webp,Blue-tongue skink beside a balanced omnivorous feeding plate,1536,1024,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/bt-004-blue-tongue-diet-hero.webp
16,BT-005,/pet-skinks/blue-tongue-skink/cost-buying/,016.png,bt-005-blue-tongue-buying-hero.webp,Healthy blue-tongue skinks being compared for responsible purchase,1536,1024,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/bt-005-blue-tongue-buying-hero.webp
17,BT-006,/pet-skinks/blue-tongue-skink/types/,017.png,bt-006-blue-tongue-types-hero.webp,Different blue-tongue skink types shown in separate naturalistic settings,1672,941,PNG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/bt-006-blue-tongue-types-hero.webp
18,CR-001,/pet-skinks/red-eyed-crocodile-skink/,018.png,cr-001-red-eyed-crocodile-skink-hero.webp,Red-eyed crocodile skink on humid forest-floor leaf litter,1672,941,PNG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/cr-001-red-eyed-crocodile-skink-hero.webp
19,CR-002,/pet-skinks/red-eyed-crocodile-skink/care/,019.png,cr-002-crocodile-skink-care-hero.webp,Red-eyed crocodile skink in a humid planted enclosure,1672,941,PNG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/cr-002-crocodile-skink-care-hero.webp
20,CR-003,/pet-skinks/red-eyed-crocodile-skink/enclosure/,020.png,cr-003-crocodile-skink-enclosure-hero.webp,"Crocodile skink enclosure with humid substrate, hides, leaf litter and water",1672,941,PNG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/cr-003-crocodile-skink-enclosure-hero.webp
21,CR-004,/pet-skinks/red-eyed-crocodile-skink/cost-buying/,021.jpeg,cr-004-crocodile-skink-buying-hero.webp,Healthy red-eyed crocodile skink being assessed before purchase,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/cr-004-crocodile-skink-buying-hero.webp
22,PET-001,/pet-skinks/fire-skink/,22.jpeg,pet-001-fire-skink-hero.webp,Adult Fire Skink emerging from deep burrowing substrate,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-001-fire-skink-hero.webp
23,PET-002,/pet-skinks/emerald-tree-skink/,23.jpeg,pet-002-emerald-tree-skink-hero.webp,Emerald Tree Skink perched on a branch in a tropical arboreal setting,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-002-emerald-tree-skink-hero.webp
24,PET-003,/pet-skinks/monkey-tailed-skink/,24.jpeg,pet-003-monkey-tailed-skink-hero.webp,Monkey-tailed skink gripping a branch with its prehensile tail,1376,768,JPEG,1600,900,WEBP,REVIEW,Prehensile tail is shown in a very tight spiral; review species-anatomy realism before final publish.,1600,900,/assets/images/heroes/pet-003-monkey-tailed-skink-hero.webp
25,PET-004,/pet-skinks/sandfish-skink/,25.jpeg,pet-004-sandfish-skink-hero.webp,Sandfish Skink moving through loose desert sand,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-004-sandfish-skink-hero.webp
26,PET-005,/pet-skinks/schneiders-skink/,26.jpeg,pet-005-schneiders-skink-hero.webp,Schneider's Skink basking in a dry sandy enclosure,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-005-schneiders-skink-hero.webp
27,PET-006,/pet-skinks/ocellated-skink/,27.jpeg,pet-006-ocellated-skink-hero.webp,Ocellated Skink showing its spotted pattern on sandy ground,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-006-ocellated-skink-hero.webp
28,PET-007,/pet-skinks/pink-tongued-skink/,28.jpeg,pet-007-pink-tongued-skink-hero.webp,Pink-Tongued Skink on a branch with its pink tongue visible,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-007-pink-tongued-skink-hero.webp
29,PET-008,/pet-skinks/peters-banded-skink/,29.jpeg,pet-008-peters-banded-skink-hero.webp,Peter's Banded Skink emerging from deep sandy substrate,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-008-peters-banded-skink-hero.webp
30,PET-009,/pet-skinks/shingleback-skink/,30.jpeg,pet-009-shingleback-skink-hero.webp,Shingleback Skink in Australian scrub showing its short thick tail,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-009-shingleback-skink-hero.webp
31,PET-010,/pet-skinks/gidgee-skink/,31.jpeg,pet-010-gidgee-skink-hero.webp,Gidgee Skinks using crevices on a rocky outcrop,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/pet-010-gidgee-skink-hero.webp
32,OUT-001,/wild-skinks/blue-tailed-skink/,32.png,out-001-blue-tailed-skink-hero.webp,Juvenile blue-tailed skink with pale stripes on dark body,1672,941,PNG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-001-blue-tailed-skink-hero.webp
33,OUT-002,/wild-skinks/five-lined-skink/,33.jpeg,out-002-five-lined-skink-hero.webp,Juvenile and adult Five-lined Skinks showing age-related color differences,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-002-five-lined-skink-hero.webp
34,OUT-003,/wild-skinks/broad-headed-skink/,34.jpeg,out-003-broad-headed-skink-hero.webp,Adult male Broad-headed Skink with a broad orange-red head,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-003-broad-headed-skink-hero.webp
35,OUT-004,/wild-skinks/western-skink/,35.jpeg,out-004-western-skink-hero.webp,Western Skink in rocky woodland-edge habitat,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-004-western-skink-hero.webp
36,OUT-005,/wild-skinks/little-brown-ground-skink/,36.jpeg,out-005-ground-skink-hero.webp,Little Brown Ground Skink moving through forest leaf litter,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-005-ground-skink-hero.webp
37,OUT-006,/wild-skinks/alligator-skink/,37.jpeg,out-006-alligator-skink-disambiguation-hero.webp,Alligator lizard compared visually with a true skink,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-006-alligator-skink-disambiguation-hero.webp
38,OUT-007,/wild-skinks/florida-sand-skink/,38.jpeg,out-007-florida-sand-skink-hero.webp,Florida Sand Skink moving beneath loose scrub sand,1376,768,JPEG,1600,900,WEBP,PASS,Regenerated and accepted: Florida Sand Skink anatomy materially improved; final 1600×900 WEBP integrated.,1600,900,/assets/images/heroes/out-007-florida-sand-skink-hero.webp
39,OUT-008,/wild-skinks/north-america/,39.jpeg,out-008-north-american-skinks-hero.webp,Representative native North American skinks in different regional habitats,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-008-north-american-skinks-hero.webp
40,OUT-009,/skinks/are-skinks-poisonous-dangerous/,40.jpeg,out-009-skink-poison-danger-hero.webp,Blue-tailed skink with household pets kept safely at a distance,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-009-skink-poison-danger-hero.webp
41,OUT-010,/backyard-skinks/garden-skinks/,41.jpeg,out-010-garden-skinks-hero.webp,"Skink using rocks, leaf litter and native groundcover in a garden",1376,768,JPEG,1600,900,WEBP,REVIEW,"Garden habitat is strong, but the skink is small in frame; acceptable only if hero crop keeps it visible.",1600,900,/assets/images/heroes/out-010-garden-skinks-hero.webp
42,OUT-011,/backyard-skinks/keep-skinks-out-house/,42.jpeg,out-011-skink-house-exclusion-hero.webp,Skink outside a sealed doorway illustrating humane home exclusion,1376,768,JPEG,1600,900,WEBP,REVIEW,"Humane-exclusion context is clear, but the skink is small in frame.",1600,900,/assets/images/heroes/out-011-skink-house-exclusion-hero.webp
43,OUT-012,/backyard-skinks/skink-poop-feces/,43.jpeg,out-012-skink-poop-hero.webp,Slender skink moving across pale sand in scrub habitat,1376,768,JPEG,1600,900,WEBP,PASS,User-approved replacement: generic skink hero used instead of feces imagery; final 1600×900 WEBP integrated.,1600,900,/assets/images/heroes/out-012-skink-poop-hero.webp
44,OUT-013,/skink-biology/reproduction/,44.jpeg,out-013-skink-reproduction-hero.webp,Female skink attending a clutch of eggs in a protected nest,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-013-skink-reproduction-hero.webp
45,OUT-014,/skink-biology/tail-drop-regrowth/,45.jpeg,out-014-skink-tail-regrowth-hero.webp,Skink showing a shorter regenerating tail after autotomy,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-014-skink-tail-regrowth-hero.webp
46,OUT-015,/skink-biology/,46.jpeg,out-015-skink-biology-hero.webp,Detailed skink portrait illustrating smooth scales and body-form diversity,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-015-skink-biology-hero.webp
47,OUT-016,/wild-skinks/california/,47.jpeg,out-016-california-skinks-hero.webp,Western Skink and Gilbert's Skink in separate California habitats,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/out-016-california-skinks-hero.webp
48,OUT-017,/wild-skinks/florida/,48.jpeg,out-017-florida-skinks-hero.webp,Representative native Florida skinks in scrub and woodland habitats,1376,768,JPEG,1600,900,WEBP,PASS,Regenerated and accepted: Florida regional composite updated with improved sand-skink anatomy; final 1600×900 WEBP integrated.,1600,900,/assets/images/heroes/out-017-florida-skinks-hero.webp
49,OUT-018,/wild-skinks/texas/,49.jpeg,out-018-texas-skinks-hero.webp,Great Plains and Four-lined Skinks representing native Texas skinks,1376,768,JPEG,1600,900,WEBP,REVIEW,"Texas regional scene is good, but the planned second Four-lined Skink is not clearly visible.",1600,900,/assets/images/heroes/out-018-texas-skinks-hero.webp
50,OUT-019,/wild-skinks/north-carolina/,50.jpeg,out-019-north-carolina-skinks-hero.webp,Broad-headed and Ground Skinks representing North Carolina skink diversity,1376,768,JPEG,1600,900,WEBP,REVIEW,Broad-headed Skink is clear; the planned Ground Skink is not clearly visible.,1600,900,/assets/images/heroes/out-019-north-carolina-skinks-hero.webp
51,SAT-001,/meaning/skink-meaning/,51.jpeg,sat-001-skink-meaning-hero.webp,Skink beside an open reference book representing the word's dictionary meaning,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/sat-001-skink-meaning-hero.webp
52,SAT-002,/meaning/skink-slang-meaning/,52.jpeg,sat-002-skink-slang-hero.webp,Skink in a modern urban setting representing context-dependent online slang,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/sat-002-skink-slang-hero.webp
53,SAT-003,/extras/cullen-skink-recipe/,53.jpeg,sat-003-cullen-skink-hero.webp,"Traditional Scottish Cullen skink soup with smoked haddock, potatoes and herbs",1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/sat-003-cullen-skink-hero.webp
