Page ID,Tier,Section,Title,URL,Parent Page ID,Parent URL,Template,Breadcrumb IDs,Breadcrumb
BT-006,Core,Blue-Tongue Skinks,"Blue-Tongue Skink Types: Northern, Indonesian, Eastern & Other *Tiliqua*",/pet-skinks/blue-tongue-skink/types/,BT-001,/pet-skinks/blue-tongue-skink/,Species / Regional Guide,CORE-001 > CORE-002 > BT-001 > BT-006,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Types: Northern, Indonesian, Eastern & Other *Tiliqua*"
CR-001,Core,Crocodile Skinks,"Red-Eyed Crocodile Skink: Species, Size, Lifespan & Natural History",/pet-skinks/red-eyed-crocodile-skink/,CORE-002,/pet-skinks/,Pillar / Hub,CORE-001 > CORE-002 > CR-001,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Red-Eyed Crocodile Skink: Species, Size, Lifespan & Natural History"
CR-002,Core,Crocodile Skinks,"Crocodile Skink Care: Diet, Handling, Temperature & Daily Husbandry",/pet-skinks/red-eyed-crocodile-skink/care/,CR-001,/pet-skinks/red-eyed-crocodile-skink/,Article / Care Guide,CORE-001 > CORE-002 > CR-001 > CR-002,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Red-Eyed Crocodile Skink: Species, Size, Lifespan & Natural History > Crocodile Skink Care: Diet, Handling, Temperature & Daily Husbandry"
CR-003,Core,Crocodile Skinks,"Crocodile Skink Enclosure: Humidity, Substrate, Water & Hides",/pet-skinks/red-eyed-crocodile-skink/enclosure/,CR-002,/pet-skinks/red-eyed-crocodile-skink/care/,Article / Care Guide,CORE-001 > CORE-002 > CR-001 > CR-002 > CR-003,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Red-Eyed Crocodile Skink: Species, Size, Lifespan & Natural History > Crocodile Skink Care: Diet, Handling, Temperature & Daily Husbandry > Crocodile Skink Enclosure: Humidity, Substrate, Water & Hides"
CR-004,Core,Crocodile Skinks,Red-Eyed Crocodile Skink Cost & Buying Guide,/pet-skinks/red-eyed-crocodile-skink/cost-buying/,CR-001,/pet-skinks/red-eyed-crocodile-skink/,Buying Guide,CORE-001 > CORE-002 > CR-001 > CR-004,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Red-Eyed Crocodile Skink: Species, Size, Lifespan & Natural History > Red-Eyed Crocodile Skink Cost & Buying Guide"
PET-001,Core,Pet Species,"Fire Skink Guide: Togo Fire Skink Care, Enclosure, Diet & Size",/pet-skinks/fire-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-001,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Fire Skink Guide: Togo Fire Skink Care, Enclosure, Diet & Size"
PET-002,Core,Pet Species,"Emerald Tree Skink Guide: Care, Enclosure, Diet, Size & Lifespan",/pet-skinks/emerald-tree-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-002,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Emerald Tree Skink Guide: Care, Enclosure, Diet, Size & Lifespan"
PET-003,Core,Pet Species,"Monkey-Tailed Skink Guide: Prehensile-Tailed Skink Care, Diet & Enclosure",/pet-skinks/monkey-tailed-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-003,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Monkey-Tailed Skink Guide: Prehensile-Tailed Skink Care, Diet & Enclosure"
PET-004,Core,Pet Species,"Sandfish Skink Guide: Desert Care, Sand Depth, Heating & Diet",/pet-skinks/sandfish-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-004,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Sandfish Skink Guide: Desert Care, Sand Depth, Heating & Diet"
PET-005,Core,Pet Species,"Schneider's Skink Guide: Berber Skink Care, Enclosure, Diet & Heating",/pet-skinks/schneiders-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-005,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Schneider's Skink Guide: Berber Skink Care, Enclosure, Diet & Heating"
PET-006,Core,Pet Species,"Ocellated Skink Guide: Care, Enclosure, Diet, Size & Health",/pet-skinks/ocellated-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-006,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Ocellated Skink Guide: Care, Enclosure, Diet, Size & Health"
PET-007,Core,Pet Species,"Pink-Tongued Skink Guide: Care, Diet, Enclosure & Lifespan",/pet-skinks/pink-tongued-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-007,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Pink-Tongued Skink Guide: Care, Diet, Enclosure & Lifespan"
PET-008,Core,Pet Species,"Peter's Banded Skink Guide: Care, Substrate, Diet & Buying Notes",/pet-skinks/peters-banded-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-008,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Peter's Banded Skink Guide: Care, Substrate, Diet & Buying Notes"
PET-009,Core,Pet Species,"Shingleback Skink: Tiliqua rugosa, Lifelong Pair Bonds, Size & Care Context",/pet-skinks/shingleback-skink/,BT-006,/pet-skinks/blue-tongue-skink/types/,Species / Regional Guide,CORE-001 > CORE-002 > BT-001 > BT-006 > PET-009,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Types: Northern, Indonesian, Eastern & Other *Tiliqua* > Shingleback Skink: Tiliqua rugosa, Lifelong Pair Bonds, Size & Care Context"
PET-010,Core,Pet Species,"Gidgee Skink Guide: Habitat, Social Behavior, Size & Captive-Care Context",/pet-skinks/gidgee-skink/,CORE-002,/pet-skinks/,Species / Regional Guide,CORE-001 > CORE-002 > PET-010,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Gidgee Skink Guide: Habitat, Social Behavior, Size & Captive-Care Context"
OUT-001,Outer,Wild Skinks,"Blue-Tailed Skink Guide: Identification, Species, Diet, Size & Range",/wild-skinks/blue-tailed-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-001,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Blue-Tailed Skink Guide: Identification, Species, Diet, Size & Range"
OUT-002,Outer,Wild Skinks,"Five-Lined Skink Guide: Identification, Range, Diet, Sex Differences & Life Cycle",/wild-skinks/five-lined-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-002,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Five-Lined Skink Guide: Identification, Range, Diet, Sex Differences & Life Cycle"
OUT-003,Outer,Wild Skinks,"Broad-Headed Skink Guide: Identification, Range, Size, Diet & Male vs Female",/wild-skinks/broad-headed-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-003,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Broad-Headed Skink Guide: Identification, Range, Size, Diet & Male vs Female"
OUT-004,Outer,Wild Skinks,"Western Skink Guide: Identification, Range, Habitat, Diet & Life Cycle",/wild-skinks/western-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-004,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Western Skink Guide: Identification, Range, Habitat, Diet & Life Cycle"
OUT-005,Outer,Wild Skinks,"Little Brown (Ground) Skink Guide: Identification, Habitat, Diet & Reproduction",/wild-skinks/little-brown-ground-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-005,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Little Brown (Ground) Skink Guide: Identification, Habitat, Diet & Reproduction"
OUT-006,Outer,Wild Skinks,"Alligator Skink Guide: Identification, Habitat, Range & Natural History",/wild-skinks/alligator-skink/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-006,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Alligator Skink Guide: Identification, Habitat, Range & Natural History"
OUT-007,Outer,Wild Skinks,"Florida Sand Skink Guide: Identification, Habitat, Range & Conservation",/wild-skinks/florida-sand-skink/,OUT-017,/wild-skinks/florida/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-017 > OUT-007,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Skinks in Florida: Species, Identification, Range & Safety > Florida Sand Skink Guide: Identification, Habitat, Range & Conservation"
OUT-008,Outer,Wild Skinks,North American Skinks: Species & Identification by State and Region,/wild-skinks/north-america/,CORE-001,/skinks/,Pillar / Hub,CORE-001 > OUT-008,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region"
OUT-009,Outer,Safety & Backyard,"Are Skinks Poisonous or Dangerous? Bites, Dogs, Cats & Common Myths",/skinks/are-skinks-poisonous-dangerous/,CORE-001,/skinks/,Species / Regional Guide,CORE-001 > OUT-009,"Skink: What It Is, Types, Habitat, Size & Key Facts > Are Skinks Poisonous or Dangerous? Bites, Dogs, Cats & Common Myths"
OUT-010,Outer,Safety & Backyard,"Garden Skinks: Identification, Benefits and How to Make a Skink-Friendly Yard",/backyard-skinks/garden-skinks/,CORE-001,/skinks/,Species / Regional Guide,CORE-001 > OUT-010,"Skink: What It Is, Types, Habitat, Size & Key Facts > Garden Skinks: Identification, Benefits and How to Make a Skink-Friendly Yard"
OUT-011,Outer,Safety & Backyard,How to Keep Skinks Out of the House: Humane Exclusion & Deterrents,/backyard-skinks/keep-skinks-out-house/,OUT-010,/backyard-skinks/garden-skinks/,Species / Regional Guide,CORE-001 > OUT-010 > OUT-011,"Skink: What It Is, Types, Habitat, Size & Key Facts > Garden Skinks: Identification, Benefits and How to Make a Skink-Friendly Yard > How to Keep Skinks Out of the House: Humane Exclusion & Deterrents"
OUT-012,Outer,Safety & Backyard,"What Does Skink Poop Look Like? Feces, Scat & Backyard Identification",/backyard-skinks/skink-poop-feces/,OUT-010,/backyard-skinks/garden-skinks/,Species / Regional Guide,CORE-001 > OUT-010 > OUT-012,"Skink: What It Is, Types, Habitat, Size & Key Facts > Garden Skinks: Identification, Benefits and How to Make a Skink-Friendly Yard > What Does Skink Poop Look Like? Feces, Scat & Backyard Identification"
OUT-013,Outer,Skink Biology,"Skink Reproduction: Eggs, Mating, Pregnancy, Live Birth & Hatching",/skink-biology/reproduction/,OUT-015,/skink-biology/,Species / Regional Guide,CORE-001 > OUT-015 > OUT-013,"Skink: What It Is, Types, Habitat, Size & Key Facts > Skink Biology: Anatomy, Classification, Scientific Names & Unusual Adaptations > Skink Reproduction: Eggs, Mating, Pregnancy, Live Birth & Hatching"
OUT-014,Outer,Skink Biology,"Why Do Skinks Drop Their Tails? Autotomy, Regrowth & Recovery",/skink-biology/tail-drop-regrowth/,OUT-015,/skink-biology/,Species / Regional Guide,CORE-001 > OUT-015 > OUT-014,"Skink: What It Is, Types, Habitat, Size & Key Facts > Skink Biology: Anatomy, Classification, Scientific Names & Unusual Adaptations > Why Do Skinks Drop Their Tails? Autotomy, Regrowth & Recovery"
OUT-015,Outer,Skink Biology,"Skink Biology: Anatomy, Classification, Scientific Names & Unusual Adaptations",/skink-biology/,CORE-001,/skinks/,Pillar / Hub,CORE-001 > OUT-015,"Skink: What It Is, Types, Habitat, Size & Key Facts > Skink Biology: Anatomy, Classification, Scientific Names & Unusual Adaptations"
OUT-016,Outer,Regional Skinks,"Skinks in California: Species, Identification, Range & Habitat",/wild-skinks/california/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-016,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Skinks in California: Species, Identification, Range & Habitat"
OUT-017,Outer,Regional Skinks,"Skinks in Florida: Species, Identification, Range & Safety",/wild-skinks/florida/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-017,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Skinks in Florida: Species, Identification, Range & Safety"
OUT-018,Outer,Regional Skinks,"Skinks in Texas: Species, Identification, Habitat & Safety",/wild-skinks/texas/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-018,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Skinks in Texas: Species, Identification, Habitat & Safety"
OUT-019,Outer,Regional Skinks,"Skinks in North Carolina: Species, Identification, Habitat & Range",/wild-skinks/north-carolina/,OUT-008,/wild-skinks/north-america/,Species / Regional Guide,CORE-001 > OUT-008 > OUT-019,"Skink: What It Is, Types, Habitat, Size & Key Facts > North American Skinks: Species & Identification by State and Region > Skinks in North Carolina: Species, Identification, Habitat & Range"
SAT-001,Satellite,Controlled Satellites,"Skink Meaning: Definition, Pronunciation, Etymology & Other Uses",/meaning/skink-meaning/,,,Article / Care Guide,SAT-001,"Skink Meaning: Definition, Pronunciation, Etymology & Other Uses"
SAT-002,Satellite,Controlled Satellites,Skink Slang Meaning: What the Term Can Mean Online and in Context,/meaning/skink-slang-meaning/,SAT-001,/meaning/skink-meaning/,Article / Care Guide,SAT-001 > SAT-002,"Skink Meaning: Definition, Pronunciation, Etymology & Other Uses > Skink Slang Meaning: What the Term Can Mean Online and in Context"
SAT-003,Satellite,Controlled Satellites,Cullen Skink: Traditional Scottish Smoked Haddock Soup + Recipe,/extras/cullen-skink-recipe/,SAT-001,/meaning/skink-meaning/,Recipe,SAT-001 > SAT-003,"Skink Meaning: Definition, Pronunciation, Etymology & Other Uses > Cullen Skink: Traditional Scottish Smoked Haddock Soup + Recipe"
